a0_min        a0_flood      Y1_intercept  Y2_intercept  Y3_intercept  Y4_intercept  Y5_intercept  LogPost       
  0.102493E+03  0.560096E+02  0.488535E-03  0.124902E+02  0.779159E+01  0.730419E-03  0.150941E+02  0.359520E+02
  0.102493E+03  0.560096E+02  0.488535E-03  0.124902E+02  0.779159E+01  0.106294E-02  0.179028E+02  0.350629E+02
  0.102493E+03  0.560096E+02  0.536635E-03  0.134798E+02  0.100105E+02  0.104062E-02  0.162491E+02  0.350767E+02
  0.102493E+03  0.560096E+02  0.536635E-03  0.134798E+02  0.100105E+02  0.104062E-02  0.157110E+02  0.351636E+02
  0.102493E+03  0.560096E+02  0.536635E-03  0.120591E+02  0.990000E+01  0.339216E-03  0.162243E+02  0.364162E+02
  0.102493E+03  0.560096E+02  0.536635E-03  0.108757E+02  0.104883E+02  0.226736E-02  0.154491E+02  0.352494E+02
  0.102493E+03  0.522571E+02  0.536635E-03  0.113298E+02  0.963535E+01  0.226736E-02  0.154491E+02  0.330242E+02
  0.102493E+03  0.522571E+02  0.536635E-03  0.113298E+02  0.103449E+02  0.139416E-02  0.155873E+02  0.337058E+02
  0.102493E+03  0.558673E+02  0.536635E-03  0.102984E+02  0.110564E+02  0.216666E-02  0.175939E+02  0.349601E+02
  0.102493E+03  0.558673E+02  0.536635E-03  0.102984E+02  0.832383E+01  0.173437E-02  0.175939E+02  0.353191E+02
  0.102493E+03  0.558673E+02  0.536635E-03  0.102984E+02  0.797952E+01  0.173437E-02  0.143710E+02  0.356428E+02
  0.102493E+03  0.524870E+02  0.117269E-02  0.999029E+01  0.779855E+01  0.862379E-03  0.114156E+02  0.300545E+02
  0.102493E+03  0.575624E+02  0.635219E-03  0.999029E+01  0.709467E+01  0.135491E-02  0.120478E+02  0.327379E+02
  0.102493E+03  0.580904E+02  0.856387E-03  0.104142E+02  0.716331E+01  0.242346E-02  0.105050E+02  0.292159E+02
  0.102493E+03  0.540277E+02  0.856387E-03  0.104142E+02  0.716331E+01  0.223368E-02  0.119931E+02  0.312449E+02
  0.102493E+03  0.588312E+02  0.732574E-03  0.841390E+01  0.716331E+01  0.235989E-02  0.146561E+02  0.302471E+02
  0.102493E+03  0.551328E+02  0.732574E-03  0.906715E+01  0.772263E+01  0.260886E-02  0.169642E+02  0.327999E+02
  0.102493E+03  0.576685E+02  0.546686E-03  0.102063E+02  0.772263E+01  0.260886E-02  0.154597E+02  0.327124E+02
  0.100901E+03  0.603592E+02  0.546686E-03  0.988974E+01  0.919523E+01  0.109451E-02  0.158277E+02  0.374905E+02
  0.100901E+03  0.576577E+02  0.546686E-03  0.891922E+01  0.932306E+01  0.761682E-03  0.154657E+02  0.397851E+02
  0.100901E+03  0.572341E+02  0.546686E-03  0.912501E+01  0.824361E+01  0.761682E-03  0.154657E+02  0.394794E+02
  0.100901E+03  0.581649E+02  0.405726E-03  0.815452E+01  0.824361E+01  0.675321E-03  0.130614E+02  0.402887E+02
  0.100901E+03  0.593606E+02  0.650181E-03  0.919301E+01  0.878657E+01  0.233814E-03  0.128516E+02  0.382409E+02
  0.100901E+03  0.593606E+02  0.650181E-03  0.826556E+01  0.979870E+01  0.233814E-03  0.134310E+02  0.381792E+02
